,Genre,Average Earning Gross USA
0,Western,10.928261743
1,War,3.880245704105263
2,Thriller,5.531157292010967
3,Sport,22.284315624537033
4,Sci-Fi,3.7401175055193456
5,Romance,6.731883657991653
6,Mystery,5.98849745401928
7,Musical,0.4351104787993283
8,Music,2.4489588922077923
9,Horror,12.69586484687064
10,History,7.7807614433178225
11,Film-Noir,0.17103025114155251
12,Fantasy,7.158149686996964
13,Family,1.40403031349037
14,Drama,5.0566986201771655
15,Crime,4.652561072288127
16,Comedy,4.011984070121491
17,Biography,2.0640969513147915
18,Animation,2.162855035319504
19,Adventure,4.4709998571714475
20,Action,4.185869467309532
